"Position","Title","Details","talk_id","talk_url","talk_desc","speakers","talk_times"
"1","Deep diving in Spring Security (with the latest trends and additions)","https://devoxx.be/2023-schedule/talks-by-tracks/talk/?id=31410","31410","https://devoxx.be/talk/?id=31410","As organizations continue to prioritize data security and user privacy, it becomes crucial for software developers and security professionals to stay updated with the latest advancements in securing applications. Spring Security, a powerful framework for implementing authentication and authorization in Java applications, has undergone significant enhancements and introduced new features in recent times.The ""Deep Diving in Spring Security: Exploring the Latest Trends and Additions"" talk is designed to provide participants with a comprehensive understanding of the advanced capabilities and cutting-edge techniques in Spring Security. This interactive deep dive talk will delve into the intricacies of Spring Security, focusing on its latest trends, additions, and best practices for secure application development.During this talk, the presenter, Laurentiu, will demonstrate live coding examples that showcase the implementation of Spring Security's latest features and enhancements. Participants will witness firsthand how to integrate these techniques into their own projects and gain valuable insights into the best practices for secure application development.","Laur Spilca","2022-08-04T10:30:00+00:00#2022-08-04T11:00:00+00:00"
"2","IAM Doomsday Prepper: Surviving the Apocalypse with Keycloak","https://devoxx.be/2023-schedule/talks-by-tracks/talk/?id=2604","2604","https://devoxx.be/talk/?id=2604","In the rapidly changing world of Identity and Access Management, securing and managing access is critical for organizations. Learn how to future-proof your Keycloak projects by leveraging the power of  'configuration as code'. You'll understand the pitfalls of UI-based configurations and JSON imports, and discover how to effectively use the Keycloak Java Admin Client to reduce errors, improve security, and streamline IAM infrastructure management. Dive into real-world examples, best practices including version control, collaboration, and automated testing. By the end, you'll have the knowledge and tools to transform your Keycloak projects into resilient, easily maintainable IAM solutions, preparing you for the challenges that lie ahead.","Maik Kingma","2022-08-04T10:30:00+00:00#2022-08-04T11:00:00+00:00"
"3","Implementing passwordless logins using Passkey, WebAuthn protocols and spring authorization server","https://devoxx.be/2023-schedule/talks-by-tracks/talk/?id=50772","50772","https://devoxx.be/talk/?id=50772","What if users can create an account and log into your application without ever having to enter a password. For example, a new user accesses your application from an iPhone they are able to create a new account and login using FaceId. This deep dive shows you how to use the Web Authentication Protocol, Passkeys and the Spring Security Authorization Server to implement such functionality. The Web Authentication is widely implemented in all modern browsers provides a highly secure and user-friendly on-boarding and authentication experience. Recently Google, Microsoft, and Apple introduced Passkeys as the preferred passwordless authentication technology based on FIDO and WebAuthn. In the workshop we will cover everything you need to know to understand how the WebAuthenticaiton, Passkey, FIDO2 protocols works and how to implement it using Spring Security and Spring Authorization Server. A git repo with highly commented code showing implementation will be provided.Come learn everything you need know about the exciting world of passkeys so you can add it to your existing applications or use it for your new apps.  No previous background in security is required to follow along and learn. ","Adib Saikali#Joe Grandja","2022-08-04T10:30:00+00:00#2022-08-04T11:00:00+00:00"
"4","Introduction to OAuth 2.0 and OpenID Connect","https://devoxx.be/2023-schedule/talks-by-tracks/talk/?id=23653","23653","https://devoxx.be/talk/?id=23653","OAuth 2.0 and OpenID Connect are critical security protocols in the contemporary web, governing how users are authenticated and how their data is accessed. However, understanding these protocols and applying them securely is often challenging, even for experienced developers. Misconfigurations and suboptimal implementations can lead to significant security risks, making a comprehensive understanding of these protocols vital for ensuring the security of web-based applications.In this session, we delve into the intricacies of OAuth 2.0 and OpenID Connect, from their foundational principles to advanced usage in client-side web applications. We will explore the practical aspects of these protocols, discussing how they function, their potential vulnerabilities, and the best practices for their secure implementation. The session aims to equip you with a fundamental understanding of OAuth 2.0 and OpenID Connect. By the end of this session, you should be able to effectively use these protocols in your applications, and confidently make informed decisions when it comes to securing user data and authentication processes.","Philippe De Ryck","2022-08-04T10:30:00+00:00#2022-08-04T11:00:00+00:00"
"5","OAuth2, OpenID: live-coding SSO, from first principles","https://devoxx.be/2023-schedule/talks-by-tracks/talk/?id=2943","2943","https://devoxx.be/talk/?id=2943","OpenID and OAuth2 are the most ubiquituous web protocols when it comes to authentication and authorization. They are somewhat complicated, and usually hard for newcomers to grok. Often explained, rarely understood, it turns out they are are based on a few primitives that are easy to implement.In this presentation, rather than going through the nitty-gritty details and puzzling over inscrutable diagrams, we use code! First, we pick a common language, e.g. Python, Java or Javascript. Then we implement an authentication flow, without using an existing library. This will help you visualize the steps involved, and it'll give you a sense of what that oauth2 library you need to use actually does.","Daniel Garnier-Moiroux","2022-08-04T10:30:00+00:00#2022-08-04T11:00:00+00:00"
"6","Quantum computers Vs. modern cryptography","https://devoxx.be/2023-schedule/talks-by-tracks/talk/?id=66651","66651","https://devoxx.be/talk/?id=66651","Cryptography – securing data with mathematical principles – is crucial in today's society, for instance to enable financial transactions, to secure medical records and to protect our national interests. In the future, computers could be built, based on principles from quantum physics. These computers threaten to undermine the foundations of modern cryptography. If we are to believe the popular media and a number of companies, this quantum age is rapidly approaching. Along with the ambiguity, anxiety also grows. This talk aims to clarify this complex matter. It discusses the basics of quantum computers, the complexity of building them, the threat they pose, and the preparations we need to make.","Kristof Verslype","2022-08-04T10:30:00+00:00#2022-08-04T11:00:00+00:00"
"7","Securing service meshes with eBPF","https://devoxx.be/2023-schedule/talks-by-tracks/talk/?id=52514","52514","https://devoxx.be/talk/?id=52514","eBPF has several use-cases. For instance, it can be used by anyone trying to add traffic control, create network policy, add observability, routing traffic to a service mesh control plane, or for load balancing. Securing your applications with a defense in depth architecture and gaining visibility in your application behavior are the two key requirements to be successful in any modern cloud native deployment. While service meshes like Istio provide these capabilities via a user space proxy mechanism it's not always feasible to inject sidecars proxies for all your applications. On the other hand Kernel technologies like eBPF when used in a CNI like Cilium provides security and metrics transparently but lacks the richness of information and policy capabilities provided by a layer 7 proxy with strong identities.In this session, We will present how we can leverage capabilities provided by both these technologies and achieve better security and observability ensuring all your applications can have uniform policy and visibility irrespective of whether they are in the mesh or not or if they are running as a container in Kubernetes or long running VM where making privileged changes are often not possible.","Shivay Lamba","2022-08-04T10:30:00+00:00#2022-08-04T11:00:00+00:00"
"8","Securing Spring Boot Microservices with OAuth and OpenID Connect","https://devoxx.be/2023-schedule/talks-by-tracks/talk/?id=31419","31419","https://devoxx.be/talk/?id=31419","Ready to level up your microservices security game? Join us and discover how to secure your Spring Boot microservices using the powerful combination of OAuth, OpenID Connect, and popular Identity Providers (IdP) like Keycloak and Auth0.We will embark on a thrilling journey to master the art of securing Spring Boot microservices. We will dive deep into the world of microservices architecture and uncover the security challenges that lie beneath the surface. In this hands-on lab, you'll unlock the secrets of OAuth and OpenID Connect protocols and create an impenetrable shield for your microservices.But that's not all - we'll take it up a notch by seamlessly integrating IdPs like Keycloak and Auth0 into your microservices security ecosystem, unleashing a whole new level of features and convenience. You'll learn how to configure Spring Security for your microservices and these IdPs. You will learn how to set up authentication and authorization for your microservices. We will also show you how to configure advanced authentication mechanisms, such as multi-factor authentication, social login, and passkeysPrepare to get your hands dirty as we dive into practical implementation using real-world examples, you'll gain the confidence and skills needed to conquer client registration, master token management, and skillfully handle authorization requests. You'll witness the magic unfold as your microservices become a fortress of security, guarded by the formidable combination of OAuth, OpenID Connect, and your IdP.By the end of this hands-on lab, you'll be equipped with knowledge and hands-on experience to implement robust security measures in your own microservices applications.","Matt Raible#Deepu K Sasidharan","2022-08-04T10:30:00+00:00#2022-08-04T11:00:00+00:00"
"9","Securing the Supply Chain for Your Java Applications","https://devoxx.be/2023-schedule/talks-by-tracks/talk/?id=42866","42866","https://devoxx.be/talk/?id=42866","Software supply chain security has never been more critical, and protecting our systems from bad actors and vulnerabilities is a constant challenge.Do you know whether your Git commits are being manipulated without your knowledge? Are you confident that you have complete visibility of all the libraries and dependencies in your application JARs and container images? Can you trust the results of your vulnerability scanner? And how can you verify the integrity of your applications in production?This presentation will show you how to secure the supply chain for your Java applications. We'll cover a range of techniques, patterns, and technologies for secure dependency management, source code integrity, safe builds, vulnerability scanning of Java source code and images, signing and verifying production artifacts, and patching strategies. We'll also explore options for handling supply chain security in a Kubernetes-native way.But this isn't just a theoretical discussion. You'll see a live demonstration of the practices and technologies we'll discuss based on the cutting-edge SLSA framework and the CNCF WG Security research. We'll use open-source tools like Gradle, Sigstore, Cloud Native Buildpacks, Trivy, Syft, and Kyverno.","Thomas Vitale","2022-08-04T10:30:00+00:00#2022-08-04T11:00:00+00:00"
"10","Securing Your Java Containers by Breaking In","https://devoxx.be/2023-schedule/talks-by-tracks/talk/?id=2933","2933","https://devoxx.be/talk/?id=2933","So you built your Java apps and containerized them, great job! But what does it take to secure a container? Are you sure you're following all the best practices to build container images correctly? What are the threats you are not mitigating in a running container? There’s no better way to understand container security than seeing some live hacking! This session introduces the state of docker security by reviewing vulnerabilities in Docker images and their impact on your Java application. Join me to learn and adopt best practices of running secure containerized Java applications in production.","Brian Vermeer","2022-08-04T10:30:00+00:00#2022-08-04T11:00:00+00:00"
